Date,Open,High,Low,Close,Volume,Change
2020-07-27,86700,88500,85400,86500,261973,-0.013683010262257711
2020-07-28,86100,90600,84500,87200,542820,0.008092485549132888
2020-07-29,86500,89000,85600,85700,225018,-0.017201834862385357
2020-07-30,85600,86400,84600,84900,200691,-0.009334889148191361
2020-07-31,84500,85300,83800,84000,183784,-0.010600706713780883
2020-08-03,84000,84200,81400,81700,260261,-0.027380952380952395
2020-08-04,81700,84800,81600,82600,220340,0.01101591187270512
2020-08-05,82600,82800,81500,81800,179997,-0.009685230024213065
2020-08-06,81800,85100,81600,83500,330293,0.020782396088019572
2020-08-07,88800,89500,83700,83900,491836,0.004790419161676551
2020-08-10,82700,83900,82100,82300,176306,-0.019070321811680557
2020-08-11,82400,83700,82100,82500,176227,0.002430133657351119
2020-08-12,82600,85000,82600,83000,234586,0.0060606060606061
2020-08-13,84000,84400,82900,83800,166287,0.009638554216867545
2020-08-14,84200,84300,82500,82700,153157,-0.013126491646778038
2020-08-18,83700,84100,80000,80400,210073,-0.027811366384522418
2020-08-19,80300,81800,80200,80400,129453,0.0
2020-08-20,80700,81400,74900,75400,350660,-0.062189054726368154
2020-08-21,75500,76100,74800,75000,152172,-0.0053050397877983935
2020-08-24,73500,75300,72500,74700,163040,-0.0040000000000000036
2020-08-25,75500,77400,74300,76300,193795,0.021419009370816644
2020-08-26,76500,76600,74600,75000,154705,-0.017038007863695914
2020-08-27,75100,75200,72100,72100,204591,-0.03866666666666663
2020-08-28,71100,78600,71000,72800,366326,0.009708737864077666
2020-08-31,73500,76900,73300,75900,222908,0.04258241758241765
2020-09-01,76000,76900,75200,75600,110898,-0.0039525691699604515
2020-09-02,76300,77900,75700,77300,119690,0.022486772486772555
2020-09-03,77800,77800,75400,76700,99589,-0.0077619663648124115
2020-09-04,74600,75900,74600,75300,117685,-0.018252933507170832
2020-09-07,75300,75400,73900,74000,105379,-0.01726427622841964
2020-09-08,74000,76600,73800,74500,111789,0.006756756756756799
2020-09-09,74400,74500,73100,73300,100580,-0.016107382550335614
2020-09-10,73700,74500,72900,73400,97818,0.0013642564802183177
2020-09-11,73100,73300,72300,72800,84590,-0.008174386920980936
2020-09-14,73200,76500,72500,74600,146872,0.024725274725274637
2020-09-15,75900,77700,74700,77400,185905,0.03753351206434319
2020-09-16,77500,79600,76900,77600,183094,0.0025839793281654533
2020-09-17,77000,78400,76100,77000,103246,-0.0077319587628865705
2020-09-18,77200,81700,76200,80100,713371,0.04025974025974022
2020-09-21,80000,80500,75000,76100,165282,-0.04993757802746568
2020-09-22,75600,75800,72500,72800,141939,-0.04336399474375818
2020-09-23,72700,74000,71000,71700,124893,-0.015109890109890056
2020-09-24,70900,71300,67400,68000,198486,-0.051603905160390484
2020-09-25,68200,70300,67400,67500,140055,-0.007352941176470562
2020-09-28,67500,68100,67200,67600,89766,0.001481481481481417
2020-09-29,68300,68700,67700,68600,98653,0.014792899408283988
2020-10-05,69900,70000,68000,68600,61897,0.0
2020-10-06,68600,69100,68300,68700,68972,0.001457725947521915
2020-10-07,68600,69000,67600,68300,75719,-0.005822416302765698
2020-10-08,69200,74000,68600,72600,339718,0.06295754026354317
2020-10-12,73100,77500,71700,75700,251717,0.04269972451790638
2020-10-13,76000,76500,73600,75700,117943,0.0
2020-10-14,75700,76200,74700,74800,80987,-0.011889035667106973
2020-10-15,74800,77700,74000,74900,140583,0.0013368983957218195
2020-10-16,75000,78000,75000,76100,169300,0.01602136181575431
2020-10-19,76100,80800,76100,78100,268055,0.026281208935611033
2020-10-20,77700,79800,76600,78200,134209,0.001280409731113874
2020-10-21,79200,80100,77300,78700,106342,0.006393861892583175
2020-10-22,79000,79100,76900,78500,92234,-0.0025412960609910717
2020-10-23,78400,80700,77700,80100,154110,0.020382165605095537
2020-10-26,79500,80400,78400,79100,82639,-0.012484394506866447
2020-10-27,78500,79300,77700,78700,82948,-0.005056890012642201
2020-10-28,78000,79200,77600,78800,64586,0.0012706480304955914
2020-10-29,77200,77900,75800,76900,140896,-0.024111675126903598
2020-10-30,76800,76800,74000,74700,103397,-0.02860858257477239
2020-11-02,73300,81200,73300,79000,288218,0.05756358768406966
2020-11-03,79100,80100,78500,79800,99029,0.010126582278481067
2020-11-04,80000,82200,78000,81700,221880,0.023809523809523725
2020-11-05,82500,85400,81600,84800,273549,0.0379436964504285
2020-11-06,84700,85800,84000,84000,142768,-0.009433962264150941
2020-11-09,84400,89100,84400,88500,363151,0.0535714285714286
2020-11-10,93000,93200,89100,90000,405570,0.016949152542372836
2020-11-11,90600,91500,87800,88200,314751,-0.020000000000000018
2020-11-12,87600,90400,84200,84800,606210,-0.038548752834467126
2020-11-13,80000,82400,75900,77800,1341803,-0.08254716981132071
2020-11-16,73800,95500,71300,82200,11647662,0.05655526992287907
2020-11-17,81200,81500,74700,74900,1730811,-0.0888077858880778
2020-11-18,76100,77300,73200,74600,703425,-0.004005340453938633
2020-11-19,73700,75300,72600,73700,493817,-0.012064343163538882
2020-11-20,72900,76200,72300,73700,459993,0.0
2020-11-23,76700,78500,75300,76100,800162,0.03256445047489831
2020-11-24,76800,77200,75200,76100,367438,0.0
2020-11-25,76500,76500,73700,74400,329930,-0.0223390275952694
2020-11-26,73300,75500,73300,74300,150016,-0.0013440860215053752
2020-11-27,74200,77000,73200,74700,457205,0.0053835800807537915
2020-11-30,75000,76400,74300,75000,271698,0.004016064257028162
2020-12-01,75000,79800,66100,72800,1727581,-0.029333333333333322
2020-12-02,73000,73300,67300,68000,1069964,-0.06593406593406592
2020-12-03,67900,74600,65400,68000,1493610,0.0
2020-12-04,67800,69900,67800,68200,276439,0.002941176470588225
2020-12-07,68000,68200,66500,66900,216068,-0.019061583577712593
2020-12-08,66900,68500,66500,66700,198356,-0.002989536621823663
2020-12-09,67200,67500,66400,66800,155364,0.0014992503748125774
2020-12-10,66900,67000,65300,65900,388998,-0.013473053892215536
2020-12-11,65900,67500,65300,65800,245934,-0.0015174506828528056
2020-12-14,65900,65900,63000,63100,352796,-0.04103343465045595
2020-12-15,63000,63100,60200,60300,385189,-0.04437400950871628
2020-12-16,60100,62500,60100,60800,197576,0.008291873963515828
2020-12-17,61000,61400,60100,60900,97421,0.00164473684210531
2020-12-18,61000,61100,60400,60800,100874,-0.0016420361247947435
2020-12-21,60700,60700,59400,60600,161004,-0.003289473684210509
2020-12-22,60600,60600,59800,60000,103915,-0.00990099009900991
2020-12-23,59800,60400,59700,60200,120423,0.0033333333333334103
2020-12-24,59700,60700,59700,60500,128509,0.004983388704318914
2020-12-28,60500,61000,59700,60000,143888,-0.008264462809917328
2020-12-29,60000,60800,59400,60800,101176,0.01333333333333342
2020-12-30,60800,63600,60400,63100,238475,0.03782894736842102
2021-01-04,63200,63200,61200,62300,149828,-0.01267828843106178
2021-01-05,61800,67900,61000,64400,499010,0.03370786516853941
2021-01-06,64900,64900,62900,63500,213557,-0.013975155279503104
2021-01-07,63300,64500,63200,63600,131606,0.0015748031496063408
2021-01-08,63600,66400,63100,65400,288199,0.028301886792452935
2021-01-11,65400,71000,63100,67700,1097795,0.03516819571865448
2021-01-12,67500,68500,66300,68100,281613,0.005908419497784312
2021-01-13,68700,68700,67500,67600,146377,-0.007342143906020504
2021-01-14,67000,69100,66900,67500,147992,-0.0014792899408283544
2021-01-15,67700,69100,65500,66400,152916,-0.016296296296296253
2021-01-18,66300,66900,63800,64400,121929,-0.030120481927710885
2021-01-19,63600,65800,63600,65200,92785,0.012422360248447228
2021-01-20,64800,65900,64000,65800,110983,0.009202453987730008
2021-01-21,65500,65800,64800,65000,69886,-0.012158054711246202
2021-01-22,64500,65300,63000,64000,122577,-0.01538461538461533
2021-01-25,63700,65700,63700,65000,92006,0.015625
2021-01-26,64700,65300,63400,63400,102044,-0.024615384615384595
2021-01-27,63500,64300,63200,63200,71730,-0.003154574132492094
2021-01-28,62500,63200,61900,62100,82501,-0.017405063291139222
2021-01-29,61800,62400,60000,61000,91661,-0.017713365539452464
2021-02-01,60100,61800,60000,61500,71484,0.008196721311475308
2021-02-02,61500,62900,61100,62800,73530,0.021138211382113914
2021-02-03,63000,63200,62000,62800,79152,0.0
2021-02-04,62100,62500,61000,61100,83699,-0.027070063694267565
2021-02-05,61200,61800,60700,61100,51649,0.0
2021-02-08,60600,61700,60600,60800,60244,-0.004909983633387904
2021-02-09,60700,61100,60500,60500,64020,-0.004934210526315819
2021-02-10,60300,61000,60100,60500,53257,0.0
2021-02-15,60600,61100,60100,60600,64133,0.0016528925619834212
2021-02-16,60200,61000,60100,60300,58536,-0.004950495049504955
2021-02-17,60100,60100,58600,58800,124740,-0.02487562189054726
2021-02-18,58600,58800,56800,57000,153078,-0.030612244897959218
2021-02-19,56100,57500,56100,57400,67162,0.007017543859649145
2021-02-22,57500,69700,56700,58600,730360,0.020905923344947785
2021-02-23,59400,59800,58100,58200,127647,-0.0068259385665528916
2021-02-24,58000,62300,57200,59900,270419,0.029209621993127044
2021-02-25,60300,61700,59500,61300,135420,0.023372287145241977
2021-02-26,60100,60600,59400,60600,92606,-0.011419249592169667
2021-03-02,60700,60700,59100,59300,97361,-0.021452145214521434
2021-03-03,59200,61200,59200,60700,85352,0.02360876897133224
2021-03-04,60300,60500,59300,60000,69716,-0.011532125205930832
2021-03-05,59300,59900,58500,58500,78206,-0.025000000000000022
