Company_Name,Year,Total_Assets,Total_Debt,Total_Equity,Revenue,Operating_Income(added),Net_Income(added),Revenue_Increase_Rate,Operating_Income(added)_Increase_Rate,Net_Income(added)_Increase_Rate,Revenue_Profit_Status,Operating_Income(added)_Profit_Status,Net_Income(added)_Profit_Status,Debt_Equity_Ratio,ROA,ROE,EPS,PER
아모레퍼시픽,2019,4950233654909.0,574799882626.0,4375433772283.0,3913830165757.0,440472610010.0,329297060650.0,-10.085108655904586,-209.59435757549008,-113.73305961191593,P_Contd,P_Contd,P_Contd,21.54,7.1,8.63,3477.0,57.52
아모레퍼시픽,2020,4897611155285.0,479192639642.0,4418418515643.0,3016950982776.0,158775251730.0,104437154292.0,6.937796507031208,31.20968426588971,1.6759186572823677,P_Contd,P_Contd,P_Contd,25.28,6.8,8.52,512.0,402.34
아모레퍼시픽,2021,5291052655630.0,565126842073.0,4725925813557.0,3475232779753.0,340130607310.0,280076338528.0,16.738122795295123,35.86450129562061,49.58173390461269,P_Contd,P_Contd,P_Contd,29.98,12.33,16.03,2820.0,59.22
아모레퍼시픽,2022,5264930130274.0,416497024385.0,4848433105889.0,2874461832939.0,235366929233.0,184011397985.0,5.721868135847916,-26.358648761979435,-21.84281242788304,P_Contd,P_Contd,P_Contd,24.19,9.77,12.14,1949.0,70.55
한화오션,2017,11022743788752.0,8278727550747.0,2744016238005.0,10634033269884.0,716502803893.0,739144216539.0,0.0,0.0,0.0,P,P,P,30.79,14.53,19.0,7141.0,1.73
한화오션,2018,11736775669527.0,8005009456054.0,3731766213473.0,9599758587188.0,1044402888807.0,946109170580.0,4.969345036534697,20.23448761404348,12.233047277251128,P_Contd,P_Contd,P_Contd,26.61,14.98,18.97,2998.0,10.12
한화오션,2019,11067648301949.0,7436139441145.0,3631508860804.0,8317581776350.0,268058306700.0,-57722248994.0,-10.085108655904586,-209.59435757549008,-113.73305961191593,P_Contd,P_Contd,L_Turned,21.54,7.1,8.63,-655.0,-37.77
한화오션,2020,10153130187339.0,6386352923175.0,3766777264164.0,7041551239250.0,152360480139.0,114537478309.0,6.937796507031208,31.20968426588971,1.6759186572823677,P_Contd,P_Contd,P_Turned,25.28,6.8,8.52,584.0,41.68
한화오션,2021,10440796983027.0,8313147253134.0,2127649729893.0,4485486215864.0,-1736267019824.0,-1673121343996.0,16.738122795295123,35.86450129562061,49.58173390461269,P_Contd,L_Turned,L_Turned,29.98,12.33,16.03,-16072.0,-1.27
한화오션,2022,12046830396329.0,11402970670525.0,643859725804.0,4817662250664.0,-1643301071583.0,-1767319882719.0,5.721868135847916,-26.358648761979435,-21.84281242788304,P_Contd,L_Contd,L_Contd,24.19,9.77,12.14,-16493.0,-1.02
DB손해보험,2017,,,,,,,,,,,,,,,,,
DB손해보험,2018,,,,,,,,,,,,,,,,,
DB손해보험,2019,,,,,,,,,,,,,,,,,
DB손해보험,2020,,,,,,,,,,,,,,,,,
DB손해보험,2021,,,,,,,,,,,,,,,,,
DB손해보험,2022,,,,,,,,,,,,,,,,,
현대글로비스,2017,7080908201674.0,3520671363877.0,3560236837797.0,12986175113610.0,539948381856.0,634965373358.0,0.0,0.0,0.0,P,P,P,30.79,14.53,19.0,18147.0,7.49
현대글로비스,2018,7382050860372.0,3655319854943.0,3726731005429.0,13452449611477.0,525287852765.0,326614985691.0,4.969345036534697,20.23448761404348,12.233047277251128,P_Contd,P_Contd,P_Contd,26.61,14.98,18.97,11663.0,11.06
현대글로비스,2019,8460175297516.0,4460343840823.0,3999831456693.0,14474535953502.0,665772253662.0,376523670985.0,-10.085108655904586,-209.59435757549008,-113.73305961191593,P_Contd,P_Contd,P_Contd,21.54,7.1,8.63,13395.0,10.68
현대글로비스,2020,9140431872200.0,4827707289252.0,4312724582948.0,12909957670070.0,493954312997.0,521318959907.0,6.937796507031208,31.20968426588971,1.6759186572823677,P_Contd,P_Contd,P_Contd,25.28,6.8,8.52,16165.0,11.38
현대글로비스,2021,10057010594625.0,5245203617552.0,4811806977073.0,17572701950001.0,894567705733.0,630270007500.0,16.738122795295123,35.86450129562061,49.58173390461269,P_Contd,P_Contd,P_Contd,29.98,12.33,16.03,20877.0,8.05
